O alarme foi Ligado(a). [date: 2022-12-16, time: 15:49:34.526772]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:49:34.526551]
A fumaça foi 'Não detectada'. [date: 2022-12-16, time: 15:49:39.342357]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:49:41.325393]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:49:41.327630]
usuário pediu para acionar/desligar 'luz 1'. [date: 2022-12-16, time: 15:51:40.521452]
A lampada foi 'Ligado(a)'. [date: 2022-12-16, time: 15:51:40.524831]
usuário pediu para acionar/desligar 'luz 2'. [date: 2022-12-16, time: 15:51:41.525744]
A lampada foi 'Ligado(a)'. [date: 2022-12-16, time: 15:51:41.528929]
usuário pediu para acionar/desligar 'air-condicionado'. [date: 2022-12-16, time: 15:51:49.536547]
O ar-condicionado foi 'Ligado(a)'. [date: 2022-12-16, time: 15:51:49.538609]
usuário pediu para acionar/desligar 'projetor'. [date: 2022-12-16, time: 15:51:50.540104]
O projetor foi 'Ligado(a)'. [date: 2022-12-16, time: 15:51:50.542026]
usuário pediu para acionar/desligar 'luz 1'. [date: 2022-12-16, time: 15:51:53.544596]
A lampada foi 'Desligado(a)'. [date: 2022-12-16, time: 15:51:53.546134]
usuário pediu para acionar/desligar 'luz 2'. [date: 2022-12-16, time: 15:51:53.570631]
A lampada foi 'Desligado(a)'. [date: 2022-12-16, time: 15:51:53.572174]
usuário pediu para acionar/desligar 'air-condicionado'. [date: 2022-12-16, time: 15:51:54.547159]
O ar-condicionado foi 'Desligado(a)'. [date: 2022-12-16, time: 15:51:54.549362]
usuário pediu para acionar/desligar 'projetor'. [date: 2022-12-16, time: 15:51:54.573221]
O projetor foi 'Desligado(a)'. [date: 2022-12-16, time: 15:51:54.575441]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:51:55.551211]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:00.560749]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:52:00.566963]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:04.570951]
A janela foi 'Aberto(a)'. [date: 2022-12-16, time: 15:52:12.080292]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:52:12.082638]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:52:12.082842]
A janela foi 'Fechado(a)'. [date: 2022-12-16, time: 15:52:17.702570]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:20.588283]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:52:20.589561]
A porta foi 'Aberto(a)'. [date: 2022-12-16, time: 15:52:24.429759]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:26.594958]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:27.596400]
A porta foi 'Fechado(a)'. [date: 2022-12-16, time: 15:52:29.949742]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:32.602109]
A fumaça foi 'Detectada'. [date: 2022-12-16, time: 15:52:43.905678]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:52:43.908120]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:52:43.908920]
A fumaça foi 'Não detectada'. [date: 2022-12-16, time: 15:52:50.833010]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:52:51.623581]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:52:51.625884]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:52:58.363910]
A presença foi 'Não detectada'. [date: 2022-12-16, time: 15:53:02.279115]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:53:19.655740]
A presença foi 'Detectada'. [date: 2022-12-16, time: 15:53:21.756827]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:53:21.758330]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:53:21.759474]
